Name,Value
skycell.1995.090,0
skycell.1996.030,1
skycell.1996.031,2
skycell.1996.040,3
skycell.1996.041,4
skycell.1996.042,5
skycell.1996.043,6
skycell.1996.044,7
skycell.1996.050,8
skycell.1996.051,9
skycell.1996.052,10
skycell.1996.053,11
skycell.1996.054,12
skycell.1996.055,13
skycell.1996.060,14
skycell.1996.061,15
skycell.1996.062,16
skycell.1996.063,17
skycell.1996.064,18
skycell.1996.065,19
skycell.1996.066,20
skycell.1996.067,21
skycell.1996.070,22
skycell.1996.071,23
skycell.1996.072,24
skycell.1996.073,25
skycell.1996.074,26
skycell.1996.075,27
skycell.1996.076,28
skycell.1996.077,29
skycell.1996.078,30
skycell.1996.080,31
skycell.1996.081,32
skycell.1996.082,33
skycell.1996.083,34
skycell.1996.084,35
skycell.1996.085,36
skycell.1996.086,37
skycell.1996.087,38
skycell.1996.088,39
skycell.1996.089,40
skycell.1996.090,41
skycell.1996.091,42
skycell.1996.092,43
skycell.1996.093,44
skycell.1996.094,45
skycell.1996.095,46
skycell.1996.096,47
skycell.1996.097,48
skycell.1996.098,49
skycell.1996.099,50
skycell.1997.020,51
skycell.1997.021,52
skycell.1997.022,53
skycell.1997.023,54
skycell.1997.024,55
skycell.1997.025,56
skycell.1997.026,57
skycell.1997.027,58
skycell.1997.028,59
skycell.1997.030,60
skycell.1997.031,61
skycell.1997.032,62
skycell.1997.033,63
skycell.1997.034,64
skycell.1997.035,65
skycell.1997.036,66
skycell.1997.037,67
skycell.1997.038,68
skycell.1997.039,69
skycell.1997.040,70
skycell.1997.041,71
skycell.1997.042,72
skycell.1997.043,73
skycell.1997.044,74
skycell.1997.045,75
skycell.1997.046,76
skycell.1997.047,77
skycell.1997.048,78
skycell.1997.049,79
skycell.1997.050,80
skycell.1997.051,81
skycell.1997.052,82
skycell.1997.053,83
skycell.1997.054,84
skycell.1997.055,85
skycell.1997.056,86
skycell.1997.057,87
skycell.1997.058,88
skycell.1997.059,89
skycell.1997.060,90
skycell.1997.061,91
skycell.1997.062,92
skycell.1997.063,93
skycell.1997.064,94
skycell.1997.065,95
skycell.1997.066,96
skycell.1997.067,97
skycell.1997.068,98
skycell.1997.069,99
skycell.1997.070,100
skycell.1997.071,101
skycell.1997.072,102
skycell.1997.073,103
skycell.1997.074,104
skycell.1997.075,105
skycell.1997.076,106
skycell.1997.077,107
skycell.1997.078,108
skycell.1997.079,109
skycell.1997.080,110
skycell.1997.081,111
skycell.1997.082,112
skycell.1997.083,113
skycell.1997.084,114
skycell.1997.085,115
skycell.1997.086,116
skycell.1997.087,117
skycell.1997.088,118
skycell.1997.089,119
skycell.1997.090,120
skycell.1997.091,121
skycell.1997.092,122
skycell.1997.093,123
skycell.1997.094,124
skycell.1997.095,125
skycell.1997.096,126
skycell.1997.097,127
skycell.1997.098,128
skycell.1997.099,129
skycell.1998.026,130
skycell.1998.027,131
skycell.1998.028,132
skycell.1998.029,133
skycell.1998.033,134
skycell.1998.034,135
skycell.1998.035,136
skycell.1998.036,137
skycell.1998.037,138
skycell.1998.038,139
skycell.1998.039,140
skycell.1998.041,141
skycell.1998.042,142
skycell.1998.043,143
skycell.1998.044,144
skycell.1998.045,145
skycell.1998.046,146
skycell.1998.047,147
skycell.1998.048,148
skycell.1998.049,149
skycell.1998.050,150
skycell.1998.051,151
skycell.1998.052,152
skycell.1998.053,153
skycell.1998.054,154
skycell.1998.055,155
skycell.1998.056,156
skycell.1998.057,157
skycell.1998.058,158
skycell.1998.059,159
skycell.1998.060,160
skycell.1998.061,161
skycell.1998.062,162
skycell.1998.063,163
skycell.1998.064,164
skycell.1998.065,165
skycell.1998.066,166
skycell.1998.067,167
skycell.1998.068,168
skycell.1998.069,169
skycell.1998.070,170
skycell.1998.071,171
skycell.1998.072,172
skycell.1998.073,173
skycell.1998.074,174
skycell.1998.075,175
skycell.1998.076,176
skycell.1998.077,177
skycell.1998.078,178
skycell.1998.079,179
skycell.1998.080,180
skycell.1998.081,181
skycell.1998.082,182
skycell.1998.083,183
skycell.1998.084,184
skycell.1998.085,185
skycell.1998.086,186
skycell.1998.087,187
skycell.1998.088,188
skycell.1998.089,189
skycell.1998.090,190
skycell.1998.091,191
skycell.1998.092,192
skycell.1998.093,193
skycell.1998.094,194
skycell.1998.095,195
skycell.1998.096,196
skycell.1998.097,197
skycell.1998.098,198
skycell.1998.099,199
skycell.1999.059,200
skycell.1999.068,201
skycell.1999.069,202
skycell.1999.076,203
skycell.1999.077,204
skycell.1999.078,205
skycell.1999.079,206
skycell.1999.085,207
skycell.1999.086,208
skycell.1999.087,209
skycell.1999.088,210
skycell.1999.089,211
skycell.1999.094,212
skycell.1999.095,213
skycell.1999.096,214
skycell.1999.097,215
skycell.1999.098,216
skycell.1999.099,217
skycell.2071.060,218
skycell.2071.070,219
skycell.2071.080,220
skycell.2071.081,221
skycell.2071.090,222
skycell.2071.091,223
skycell.2072.000,224
skycell.2072.001,225
skycell.2072.002,226
skycell.2072.003,227
skycell.2072.004,228
skycell.2072.005,229
skycell.2072.006,230
skycell.2072.010,231
skycell.2072.011,232
skycell.2072.012,233
skycell.2072.013,234
skycell.2072.014,235
skycell.2072.015,236
skycell.2072.016,237
skycell.2072.017,238
skycell.2072.020,239
skycell.2072.021,240
skycell.2072.022,241
skycell.2072.023,242
skycell.2072.024,243
skycell.2072.025,244
skycell.2072.026,245
skycell.2072.027,246
skycell.2072.028,247
skycell.2072.030,248
skycell.2072.031,249
skycell.2072.032,250
skycell.2072.033,251
skycell.2072.034,252
skycell.2072.035,253
skycell.2072.036,254
skycell.2072.037,255
skycell.2072.038,256
skycell.2072.040,257
skycell.2072.041,258
skycell.2072.042,259
skycell.2072.043,260
skycell.2072.044,261
skycell.2072.045,262
skycell.2072.046,263
skycell.2072.047,264
skycell.2072.048,265
skycell.2072.049,266
skycell.2072.050,267
skycell.2072.051,268
skycell.2072.052,269
skycell.2072.053,270
skycell.2072.054,271
skycell.2072.055,272
skycell.2072.056,273
skycell.2072.057,274
skycell.2072.058,275
skycell.2072.059,276
skycell.2072.060,277
skycell.2072.061,278
skycell.2072.062,279
skycell.2072.063,280
skycell.2072.064,281
skycell.2072.065,282
skycell.2072.066,283
skycell.2072.067,284
skycell.2072.068,285
skycell.2072.069,286
skycell.2072.070,287
skycell.2072.071,288
skycell.2072.072,289
skycell.2072.073,290
skycell.2072.074,291
skycell.2072.075,292
skycell.2072.076,293
skycell.2072.077,294
skycell.2072.078,295
skycell.2072.079,296
skycell.2072.080,297
skycell.2072.081,298
skycell.2072.082,299
skycell.2072.083,300
skycell.2072.084,301
skycell.2072.085,302
skycell.2072.086,303
skycell.2072.087,304
skycell.2072.088,305
skycell.2072.089,306
skycell.2072.090,307
skycell.2072.091,308
skycell.2072.092,309
skycell.2072.093,310
skycell.2072.094,311
skycell.2072.095,312
skycell.2072.096,313
skycell.2072.097,314
skycell.2072.098,315
skycell.2072.099,316
skycell.2073.000,317
skycell.2073.001,318
skycell.2073.002,319
skycell.2073.003,320
skycell.2073.004,321
skycell.2073.005,322
skycell.2073.006,323
skycell.2073.007,324
skycell.2073.008,325
skycell.2073.009,326
skycell.2073.010,327
skycell.2073.011,328
skycell.2073.012,329
skycell.2073.013,330
skycell.2073.014,331
skycell.2073.015,332
skycell.2073.016,333
skycell.2073.017,334
skycell.2073.018,335
skycell.2073.019,336
skycell.2073.020,337
skycell.2073.021,338
skycell.2073.022,339
skycell.2073.023,340
skycell.2073.024,341
skycell.2073.025,342
skycell.2073.026,343
skycell.2073.027,344
skycell.2073.028,345
skycell.2073.029,346
skycell.2073.030,347
skycell.2073.031,348
skycell.2073.032,349
skycell.2073.033,350
skycell.2073.034,351
skycell.2073.035,352
skycell.2073.036,353
skycell.2073.037,354
skycell.2073.038,355
skycell.2073.039,356
skycell.2073.040,357
skycell.2073.041,358
skycell.2073.042,359
skycell.2073.043,360
skycell.2073.044,361
skycell.2073.045,362
skycell.2073.046,363
skycell.2073.047,364
skycell.2073.048,365
skycell.2073.049,366
skycell.2073.050,367
skycell.2073.051,368
skycell.2073.052,369
skycell.2073.053,370
skycell.2073.054,371
skycell.2073.055,372
skycell.2073.056,373
skycell.2073.057,374
skycell.2073.058,375
skycell.2073.059,376
skycell.2073.060,377
skycell.2073.061,378
skycell.2073.062,379
skycell.2073.063,380
skycell.2073.064,381
skycell.2073.065,382
skycell.2073.066,383
skycell.2073.067,384
skycell.2073.068,385
skycell.2073.069,386
skycell.2073.070,387
skycell.2073.071,388
skycell.2073.072,389
skycell.2073.073,390
skycell.2073.074,391
skycell.2073.075,392
skycell.2073.076,393
skycell.2073.077,394
skycell.2073.078,395
skycell.2073.079,396
skycell.2073.080,397
skycell.2073.081,398
skycell.2073.082,399
skycell.2073.083,400
skycell.2073.084,401
skycell.2073.085,402
skycell.2073.086,403
skycell.2073.087,404
skycell.2073.088,405
skycell.2073.089,406
skycell.2073.090,407
skycell.2073.091,408
skycell.2073.092,409
skycell.2073.093,410
skycell.2073.094,411
skycell.2073.095,412
skycell.2073.096,413
skycell.2073.097,414
skycell.2073.098,415
skycell.2073.099,416
skycell.2074.000,417
skycell.2074.001,418
skycell.2074.002,419
skycell.2074.003,420
skycell.2074.004,421
skycell.2074.005,422
skycell.2074.006,423
skycell.2074.007,424
skycell.2074.008,425
skycell.2074.009,426
skycell.2074.010,427
skycell.2074.011,428
skycell.2074.012,429
skycell.2074.013,430
skycell.2074.014,431
skycell.2074.015,432
skycell.2074.016,433
skycell.2074.017,434
skycell.2074.018,435
skycell.2074.019,436
skycell.2074.020,437
skycell.2074.021,438
skycell.2074.022,439
skycell.2074.023,440
skycell.2074.024,441
skycell.2074.025,442
skycell.2074.026,443
skycell.2074.027,444
skycell.2074.028,445
skycell.2074.029,446
skycell.2074.030,447
skycell.2074.031,448
skycell.2074.032,449
skycell.2074.033,450
skycell.2074.034,451
skycell.2074.035,452
skycell.2074.036,453
skycell.2074.037,454
skycell.2074.038,455
skycell.2074.039,456
skycell.2074.040,457
skycell.2074.041,458
skycell.2074.042,459
skycell.2074.043,460
skycell.2074.044,461
skycell.2074.045,462
skycell.2074.046,463
skycell.2074.047,464
skycell.2074.048,465
skycell.2074.049,466
skycell.2074.050,467
skycell.2074.051,468
skycell.2074.052,469
skycell.2074.053,470
skycell.2074.054,471
skycell.2074.055,472
skycell.2074.056,473
skycell.2074.057,474
skycell.2074.058,475
skycell.2074.059,476
skycell.2074.060,477
skycell.2074.061,478
skycell.2074.062,479
skycell.2074.063,480
skycell.2074.064,481
skycell.2074.065,482
skycell.2074.066,483
skycell.2074.067,484
skycell.2074.068,485
skycell.2074.069,486
skycell.2074.070,487
skycell.2074.071,488
skycell.2074.072,489
skycell.2074.073,490
skycell.2074.074,491
skycell.2074.075,492
skycell.2074.076,493
skycell.2074.077,494
skycell.2074.078,495
skycell.2074.079,496
skycell.2074.080,497
skycell.2074.081,498
skycell.2074.082,499
skycell.2074.083,500
skycell.2074.084,501
skycell.2074.085,502
skycell.2074.086,503
skycell.2074.087,504
skycell.2074.088,505
skycell.2074.089,506
skycell.2074.090,507
skycell.2074.091,508
skycell.2074.092,509
skycell.2074.093,510
skycell.2074.094,511
skycell.2074.095,512
skycell.2074.096,513
skycell.2074.097,514
skycell.2074.098,515
skycell.2074.099,516
skycell.2075.000,517
skycell.2075.001,518
skycell.2075.002,519
