Name,Dist,RA,DEC,RA_Corner1,DEC_Corner1,RA_Corner2,DEC_Corner2,RA_Corner3,DEC_Corner3,RA_Corner4,DEC_Corner4
skycell.0673.000,8.240016609985556,174.975071655139,-31.809131984969,175.192918882241,-32.026770878733004,175.192918882241,-31.591423646759,174.757224428037,-31.591423646759,174.757224428037,-32.026770878733004
skycell.0673.001,8.395515032214377,174.572710535015,-31.809131984969,174.790557762117,-32.026770878733004,174.790557762117,-31.591423646759,174.354863307913,-31.591423646759,174.354863307913,-32.026770878733004
skycell.0673.002,8.560679234934131,174.170349414891,-31.809131984969,174.388196641993,-32.026770878733004,174.388196641993,-31.591423646759,173.952502187789,-31.591423646759,173.952502187789,-32.026770878733004
skycell.0673.003,8.734958260344266,173.767988294767,-31.809131984969,173.985835521869,-32.026770878733004,173.985835521869,-31.591423646759,173.550141067665,-31.591423646759,173.550141067665,-32.026770878733004
skycell.0673.004,8.917814909150199,173.365627174643,-31.809131984969,173.583474401745,-32.026770878733004,173.583474401745,-31.591423646759,173.147779947541,-31.591423646759,173.147779947541,-32.026770878733004
skycell.0673.005,9.108729645352302,172.963266054519,-31.809131984969,173.181113281621,-32.026770878733004,173.181113281621,-31.591423646759,172.745418827417,-31.591423646759,172.745418827417,-32.026770878733004
skycell.0673.010,8.602813662212819,174.975071655139,-31.407118087075,175.192918882241,-31.624756980839,175.192918882241,-31.189409748865,174.757224428037,-31.189409748865,174.757224428037,-31.624756980839
skycell.0673.011,8.752554126474596,174.572710535015,-31.407118087075,174.790557762117,-31.624756980839,174.790557762117,-31.189409748865,174.354863307913,-31.189409748865,174.354863307913,-31.624756980839
skycell.0673.012,8.911832334149205,174.170349414891,-31.407118087075,174.388196641993,-31.624756980839,174.388196641993,-31.189409748865,173.952502187789,-31.189409748865,173.952502187789,-31.624756980839
skycell.0673.013,9.08014381646081,173.767988294767,-31.407118087075,173.985835521869,-31.624756980839,173.985835521869,-31.189409748865,173.550141067665,-31.189409748865,173.550141067665,-31.624756980839
skycell.0673.020,8.9689313693773,174.975071655139,-31.005104189181,175.192918882241,-31.222743082945,175.192918882241,-30.787395850971,174.757224428037,-30.787395850971,174.757224428037,-31.222743082945
skycell.0673.021,9.113311957411975,174.572710535015,-31.005104189181,174.790557762117,-31.222743082945,174.790557762117,-30.787395850971,174.354863307913,-30.787395850971,174.354863307913,-31.222743082945
skycell.0674.000,7.316493593942277,179.53203271470932,-31.809131984969,179.74987994181132,-32.026770878733004,179.74987994181132,-31.591423646759,179.31418548760732,-31.591423646759,179.31418548760732,-32.026770878733004
skycell.0674.001,7.327673537566954,179.12967159458532,-31.809131984969,179.34751882168732,-32.026770878733004,179.34751882168732,-31.591423646759,178.91182436748332,-31.591423646759,178.91182436748332,-32.026770878733004
skycell.0674.002,7.353404534261252,178.72731047446132,-31.809131984969,178.94515770156332,-32.026770878733004,178.94515770156332,-31.591423646759,178.50946324735932,-31.591423646759,178.50946324735932,-32.026770878733004
skycell.0674.003,7.393534237613643,178.32494935433732,-31.809131984969,178.54279658143932,-32.026770878733004,178.54279658143932,-31.591423646759,178.10710212723532,-31.591423646759,178.10710212723532,-32.026770878733004
skycell.0674.004,7.447829243177205,177.92258823421332,-31.809131984969,178.14043546131532,-32.026770878733004,178.14043546131532,-31.591423646759,177.70474100711132,-31.591423646759,177.70474100711132,-32.026770878733004
skycell.0674.005,7.51598167497163,177.52022711408932,-31.809131984969,177.73807434119132,-32.026770878733004,177.73807434119132,-31.591423646759,177.30237988698732,-31.591423646759,177.30237988698732,-32.026770878733004
skycell.0674.006,7.597617509097741,177.11786599396532,-31.809131984969,177.33571322106732,-32.026770878733004,177.33571322106732,-31.591423646759,176.90001876686333,-31.591423646759,176.90001876686333,-32.026770878733004
