Sector,Camera,CCD,RA_center,DEC_center,ROTATION,RA_corner1,DEC_corner1,RA_corner2,DEC_corner2,RA_corner3,DEC_corner3,RA_corner4,DEC_corner4
66,4,3,98.9814346208328,-58.06644988054522,-167.81717316847704,105.87878013790834,-51.193036047981884,114.3324083170989,-61.69929748575785,87.85602827971356,-64.91054928244257,86.83606067815643,-53.02758307654965
66,4,4,75.01630758963283,-58.55988068110847,172.6270779133821,86.5644134616721,-53.03398999527979,87.46593194080666,-64.91946611250943,59.922672055222705,-62.78761914484891,67.18849880683005,-51.98083796316188
67,1,1,1069.0,1040.0,40.82066220631367,1.0,1.0,1.0,2078.0,2136.0,2078.0,2136.0,1.0
67,1,2,1069.0,1040.0,40.82066220631367,1.0,1.0,1.0,2078.0,2136.0,2078.0,2136.0,1.0
67,1,3,1069.0,1040.0,40.82066220631367,1.0,1.0,1.0,2078.0,2136.0,2078.0,2136.0,1.0
67,1,4,1069.0,1040.0,40.82066220631367,1.0,1.0,1.0,2078.0,2136.0,2078.0,2136.0,1.0
67,2,1,298.9527015672571,-71.44262214655225,10.376088007371008,278.27994958392287,-77.21273541456786,281.4371881182372,-65.76863061804198,310.0710150639008,-63.869677575869005,326.47953296591186,-74.34680597260372
67,2,2,330.32025985288175,-65.80947044105736,40.82066220631367,327.0100347426275,-74.24884690273282,310.45658158929274,-63.81301976362298,331.79431477696176,-57.34865589511856,349.4907136671635,-65.17275080117376
67,2,3,316.40731011879615,-55.49228876294458,-153.55660502100073,320.1894971146404,-47.89494332367626,331.46282370556014,-57.14394816478489,310.2157174395206,-63.55426153834154,303.0280262554689,-52.26213434133134
67,2,4,294.09479288480054,-59.301351364290156,-171.51259963861372,302.76485629869603,-52.304649347485594,309.8515072349647,-63.61667706355437,281.49275639908416,-65.50129071890903,283.21190627693886,-54.04939183363115
67,3,1,356.96772798677654,-72.87019209139413,-113.8982226331188,349.98881604079867,-65.30783750952672,18.455755123476422,-68.17966600983743,16.250072606188155,-80.3881960062907,326.9587957977343,-74.24224176912534
67,3,2,315.66137764304483,-82.60817357829998,-153.0160158016097,326.4841349062637,-74.33766855774061,16.15763441369012,-80.55007665601319,213.1245338301527,-87.1301496380094,277.9866011534504,-77.58516030302995
67,3,3,80.53705400890557,-83.51588531349789,151.15400692661092,123.22297497132737,-78.5945553169986,207.81421477066738,-87.18042710841623,17.839659303114928,-80.56288686552159,71.37646923442668,-75.15460209521974
67,3,4,40.028383824555966,-73.24504788837248,110.93016955742691,70.86765381087083,-75.06310510821123,17.79332116922439,-80.39960624654371,19.126589046153768,-68.18136341224378,48.19095559093554,-65.81474197667961
67,4,1,68.52013431882114,-66.67392485993292,-43.26699630645916,48.86810905577869,-65.72366121448417,67.55036279902794,-58.195918742836966,89.24284692846022,-64.89296687098242,70.88427286281821,-75.14956292047223
67,4,2,100.97998708729462,-72.60456564600389,-11.929255549399576,71.35435943291714,-75.2656427655753,89.59013806154017,-64.96692807651672,119.4935892638642,-66.93854664156609,123.36491460971152,-78.37327081212756
67,4,3,106.29903268410247,-60.457636222230995,171.70659879899827,117.54275911424507,-55.2135237113622,119.43827139576346,-66.65327463219572,89.86366691226796,-64.69194753258863,97.46379079575013,-53.43543639392084
67,4,4,83.39007331706844,-56.51616037542765,152.9233318521687,97.20028609315686,-53.390676765121704,89.50696294422194,-64.62887362689204,67.90245211753954,-57.98965069289166,79.74118343969796,-48.89083210609596
68,1,1,1069.0,1040.0,89.66303745397022,1.0,1.0,1.0,2078.0,2136.0,2078.0,2136.0,1.0
68,1,2,1069.0,1040.0,-117.27090181491845,1.0,1.0,1.0,2078.0,2136.0,2078.0,2136.0,1.0
68,1,3,1069.0,1040.0,-117.27090181491845,1.0,1.0,1.0,2078.0,2136.0,2078.0,2136.0,1.0
68,1,4,1069.0,1040.0,90.33435612565633,1.0,1.0,1.0,2078.0,2136.0,2078.0,2136.0,1.0
68,2,1,339.8543898381937,-63.39853035255594,28.41770494673532,332.9191818071318,-70.88760288500305,323.2713180578684,-60.08778318241326,344.15622025559674,-55.03715084378434,359.1267339907053,-64.3141206593967
68,2,2,359.59870485050715,-55.68461198973292,46.38575733718905,359.42075536381697,-64.1962136285188,344.4285056895137,-54.94807194325982,359.5621959960102,-47.195927437738796,13.438142766977592,-54.70304243165929
68,2,3,346.9462559357237,-46.254374614410224,-145.72962138730077,348.8400314659504,-38.43026634472193,359.27692957932953,-47.00515598561854,344.15995771376294,-54.71493880031065,335.1592813077043,-44.3189776811244
68,2,4,329.98856655906576,-52.24210231821432,-157.79058941482248,334.9491629469882,-44.389985840057456,343.9054043097547,-54.80721429736496,323.1355666084531,-59.82764767630628,318.88333075675365,-48.61061494796417
68,3,1,18.03902218550196,-62.482270646532456,-117.27090181491845,13.797778314243073,-54.84089223503189,33.62703687611612,-58.73469892060693,26.020175975247163,-70.53657772163149,359.387890085852,-64.19185882541278
68,3,2,358.8135212578853,-72.81731238211614,-134.30576864851622,359.12886489429883,-64.30504653614601,25.849664486524944,-70.68869674053867,358.5897922535215,-81.3046712197954,333.35686439571884,-71.23841076458095
68,3,3,44.96869156637826,-77.96849180308374,89.66303745397022,86.26509302915264,-81.70071869316561,359.8600591699976,-81.49386408742119,26.643533992846734,-70.77546946593415,63.521349658387884,-70.96332875098301
68,3,4,45.45069866256139,-65.43668423689766,90.33435612565633,63.34509032806201,-70.81497554528914,26.757431683957858,-70.61584424545643,34.10054622790296,-58.78167948724896,56.515058282736966,-59.34385684654332
68,4,1,71.76394286544733,-63.04557049694416,-66.50780519271633,57.096371564078446,-59.343951864547975,76.7713523979437,-54.95063309656545,91.08144110728654,-64.9226370154315,63.208665219463036,-70.88969980905779
68,4,2,90.34703868798361,-73.69058989910478,-48.742417389316905,63.32132568529647,-71.05254961195207,91.32280650243021,-65.05180343288123,119.1279409631177,-72.19744528866715,87.69585583492832,-81.61989224351755
68,4,3,111.80028459595847,-63.931058892091954,150.56499594020906,127.72754974953281,-60.915780981533146,119.4721368579528,-71.93280162873128,91.84660514730852,-64.85062902944361,107.41851502929349,-55.71560220468061
68,4,4,92.01477679726794,-56.09078490649035,134.04284753341,107.17688233676628,-55.62544921632517,91.58131877819909,-64.72987441361862,77.19015119080167,-54.81212364263514,92.27945916402857,-48.15608918606361
