Sector,Camera,CCD,RA_center,DEC_center,ROTATION,RA_corner1,DEC_corner1,RA_corner2,DEC_corner2,RA_corner3,DEC_corner3,RA_corner4,DEC_corner4
1,1,1,319.4839874994128,-41.03857318238723,16.17868447164278,313.7772166961591,-47.87123354942672,310.09220257632205,-36.70188893899554,324.468060878893,-33.33023524304601,330.12943095032114,-44.4133436512738
1,1,2,334.4746587131874,-36.43184132336889,26.415266590571296,330.3440635961673,-44.33661687035554,324.6646075172617,-33.27787961226787,337.7205844677253,-28.38562993920757,344.1285312692095,-38.56213431311804
1,1,3,328.6997053978832,-25.17258034492085,-158.67195768417398,332.0497491272511,-17.867487230135765,337.59847476277366,-28.164440967363404,324.55051612761747,-33.03476022206526,320.19255713030145,-21.767717934214325
1,1,4,315.326393680347,-29.20348439691792,-163.99450589842243,320.0133950796007,-21.820102214469262,324.3592091690847,-33.09041219418143,310.04493756601704,-36.44922444571216,307.6419627616854,-25.13919199236813
1,2,1,333.20741801221794,-63.42319030246114,24.364041058676374,324.7507777784942,-70.67606450974006,317.24440261632134,-59.600482661799106,338.371125870078,-54.34354647847328,352.5066810352637,-64.92276915045625
1,2,2,354.0609020771282,-56.33478149772047,43.350215960148766,352.830555532121,-64.81709736571374,338.8032420478593,-55.11167157167132,354.6881970565211,-47.84701153892651,8.268983041909394,-55.73593553479611
1,2,3,342.0391929704587,-46.513312910168004,-148.30793674050906,344.3856906786052,-38.762615005922754,354.4133024015537,-47.647660022955684,338.5752201494314,-54.88361881406654,330.3687372046136,-44.22139847458668
1,2,4,324.666027948641,-51.96294882442318,-160.67454401442595,330.15351293686473,-44.282318696619406,338.3046809146978,-54.966654424369445,317.1407976614322,-59.334409274761846,313.94254105617136,-48.00900684460944
1,3,1,12.245465996773778,-63.61378677213356,-120.34469634667266,8.626740707377703,-55.880361247178215,28.847040882089978,-60.21647223158945,19.345166797094144,-71.84732702072405,352.7975020318004,-64.81224660931952
1,3,2,350.14366886020247,-73.3819076327602,-140.11875363999846,352.50531760050796,-64.91266659869228,19.127491521341597,-72.00265821114562,343.81876425626393,-81.7794318588182,325.0735788543406,-71.02566279140807
1,3,3,38.196979357076486,-79.61806981015796,85.9454593688611,88.20910235040208,-83.38236817468095,344.85880726590545,-82.00673675011201,19.97128411780866,-72.10177114261266,60.07925327983277,-72.7725523705542
1,3,4,40.83437193179922,-67.10500656972752,88.61820710360323,59.897258283468425,-72.61204316187046,20.129249820575275,-71.94758103688075,29.337772994738906,-60.27203912885907,52.86199197516319,-61.11351719017236
1,4,1,68.99098479737671,-64.84119257381147,-66.23757500962762,53.471605742958495,-61.11572994643371,74.17120213089815,-56.72943337705132,89.69803691593671,-66.56538038067505,59.73834751268914,-72.68790292324101
1,4,2,89.94278209132167,-75.33698653061656,-46.07555734994386,59.856599817609656,-72.85102119778574,89.96517176946122,-66.69123305456286,120.78491288612297,-73.25990248376809,89.93897646365137,-83.28467945614177
1,4,3,111.49440571365507,-65.18975745022347,153.57721258707457,127.60332302406161,-61.771528067806535,121.0727352301562,-72.986943850819,90.50498802307305,-66.48440390031567,106.15568539425885,-57.08129211202039
1,4,4,90.16658096562513,-57.724275814992744,135.46559197627178,105.89893402390484,-56.99610431836351,90.21636842171537,-66.36551155242721,74.607687594111,-56.588952513238304,90.12531959735723,-49.78693846342759
2,1,1,348.3471469775305,-31.263976146266266,22.12146385952249,344.4021810476531,-38.51907511806938,339.42225381591504,-27.808796396770283,352.0038930248524,-23.243110986573342,357.9347570852993,-33.95762938345214
2,1,2,1.2202305145319403,-25.80167675637324,29.096048775362668,358.11334026475606,-33.870530257690625,352.1683461693034,-23.16290006848125,3.8233183299476012,-17.65332915089972,9.859569423097954,-27.70510605727634
2,1,3,355.28651870609633,-14.829640513973626,-155.11185137849873,358.0410222178029,-7.361538795505535,3.702485378835661,-17.436122527876424,352.0565168202626,-22.926443710025374,347.0237426308831,-12.02219121724855
2,1,4,343.22804265874464,-19.847789483699497,-157.92149927177434,346.85866556737517,-12.088590038005371,351.88380257572845,-22.99563634677056,339.3307860377414,-27.562783094543967,335.58513804477127,-16.607315977539937
2,2,1,2.2869167873688023,-52.79266125324997,28.755117541121773,357.7967865917812,-60.34019630288051,349.5163523082903,-49.85583597880069,5.675434889042501,-44.43482832932171,16.42908344711169,-54.086906872967425
2,2,2,18.009012398270567,-45.52267822314072,41.507214406732125,16.66577706792609,-53.983044109102785,5.894764100088061,-44.34936676658311,18.871201646551064,-37.04956905269424,29.350705033554682,-45.433900305127864
2,2,3,8.207825167890602,-35.68068720088403,-147.0812336721737,10.091864745774771,-27.9034936722117,18.647017839104578,-36.845123738333974,5.684079623136248,-44.11312384700268,358.1237188131015,-33.74966797853497
