Name,Dist,RA,DEC,RA_Corner1,DEC_Corner1,RA_Corner2,DEC_Corner2,RA_Corner3,DEC_Corner3,RA_Corner4,DEC_Corner4
skycell.0700.000,7.783291943671736,298.01306603990463,-31.809131984969,298.2309132670066,-32.026770878733004,298.2309132670066,-31.591423646759,297.7952188128026,-31.591423646759,297.7952188128026,-32.026770878733004
skycell.0700.001,8.124953258207517,297.61070491978063,-31.809131984969,297.8285521468826,-32.026770878733004,297.8285521468826,-31.591423646759,297.3928576926786,-31.591423646759,297.3928576926786,-32.026770878733004
skycell.0700.002,8.46668098062361,297.20834379965663,-31.809131984969,297.4261910267586,-32.026770878733004,297.4261910267586,-31.591423646759,296.9904965725546,-31.591423646759,296.9904965725546,-32.026770878733004
skycell.0700.003,8.808463007661773,296.80598267953263,-31.809131984969,297.0238299066346,-32.026770878733004,297.0238299066346,-31.591423646759,296.5881354524306,-31.591423646759,296.5881354524306,-32.026770878733004
skycell.0700.004,9.150288865221746,296.40362155940863,-31.809131984969,296.6214687865106,-32.026770878733004,296.6214687865106,-31.591423646759,296.1857743323066,-31.591423646759,296.1857743323066,-32.026770878733004
skycell.0700.010,7.776592855032715,298.01306603990463,-31.407118087075,298.2309132670066,-31.624756980839,298.2309132670066,-31.189409748865,297.7952188128026,-31.189409748865,297.7952188128026,-31.624756980839
skycell.0700.011,8.119982916471216,297.61070491978063,-31.407118087075,297.8285521468826,-31.624756980839,297.8285521468826,-31.189409748865,297.3928576926786,-31.189409748865,297.3928576926786,-31.624756980839
skycell.0700.012,8.463359798674093,297.20834379965663,-31.407118087075,297.4261910267586,-31.624756980839,297.4261910267586,-31.189409748865,296.9904965725546,-31.189409748865,296.9904965725546,-31.624756980839
skycell.0700.013,8.806720699340298,296.80598267953263,-31.407118087075,297.0238299066346,-31.624756980839,297.0238299066346,-31.189409748865,296.5881354524306,-31.189409748865,296.5881354524306,-31.624756980839
skycell.0700.014,9.150063059930147,296.40362155940863,-31.407118087075,296.6214687865106,-31.624756980839,296.6214687865106,-31.189409748865,296.1857743323066,-31.189409748865,296.1857743323066,-31.624756980839
skycell.0700.020,7.790532883713251,298.01306603990463,-31.005104189181,298.2309132670066,-31.222743082945,298.2309132670066,-30.787395850971,297.7952188128026,-30.787395850971,297.7952188128026,-31.222743082945
skycell.0700.021,8.134767571863279,297.61070491978063,-31.005104189181,297.8285521468826,-31.222743082945,297.8285521468826,-30.787395850971,297.3928576926786,-30.787395850971,297.3928576926786,-31.222743082945
skycell.0700.022,8.478980358379083,297.20834379965663,-31.005104189181,297.4261910267586,-31.222743082945,297.4261910267586,-30.787395850971,296.9904965725546,-30.787395850971,296.9904965725546,-31.222743082945
