Name,Dist,RA,DEC,RA_Corner1,DEC_Corner1,RA_Corner2,DEC_Corner2,RA_Corner3,DEC_Corner3,RA_Corner4,DEC_Corner4
skycell.0635.002,8.966112514484536,1.18279358194505,-31.80306248581414,1.4420982549903962,-32.017766435943244,1.4356726045615358,-31.58305750522319,0.9246781076038972,-31.587754419094757,0.9288177169669912,-32.02254131403653
skycell.0635.003,8.565136888050194,0.7096916754310298,-31.806562348598927,0.9680176060823212,-32.0222495732557,0.9637033530664136,-31.587467442062973,0.4525700764248997,-31.59028639871696,0.4545964165967853,-32.02511532508073
skycell.0635.004,8.164209800777023,0.2364929712197817,-31.808312490995544,0.4938043627367808,-32.0249694307396,0.4916032716701002,-31.590142886762468,359.9804005829073,-31.59108247907681,359.9803128246832,-32.02592462098678
skycell.0635.005,7.7633874792171715,359.7632620034502,-31.808312037748717,0.019523456615851,-32.025924646173465,0.0194364281897478,-31.591082503852192,359.5082337514106,-31.590142262675176,359.50603193070765,-32.02496879629209
skycell.0635.006,7.3627297484464105,359.29006333266466,-31.80656098908509,359.545239874993,-32.025114740993956,359.5472669448258,-31.59028582416807,359.03613370412563,-31.587466218975376,359.0318187219336,-32.02224832986519
skycell.0635.007,6.96230102948074,358.81696149297466,-31.803060220713117,359.07101860734105,-32.02254012096895,359.0751589459296,-31.587753245508463,358.56416450884166,-31.58305568374563,358.5577381299947,-32.017764584232324
skycell.0635.008,6.562171705464816,358.34402093928117,-31.797811482594284,358.596924591916,-32.01820207562684,358.60317650576656,-31.58348603207699,358.0923901268252,-31.57691285718923,358.08385497759707,-32.011519803662644
skycell.0635.009,6.162420021545754,357.8713059946563,-31.79081739648948,358.1230226624455,-32.01210277644415,358.13138359638145,-31.57748631271279,357.620874360915,-31.56904080086742,357.6102339254454,-32.00351711101693
skycell.0635.012,9.004253271841012,1.1779345909737269,-31.40144977366336,1.436161631141801,-31.61628503461702,1.42978864838191,-31.18140477858081,0.9208874869322602,-31.18602977883031,0.9249931536761996,-31.62098790303601
skycell.0635.013,8.604957095276914,0.706775690139464,-31.404896452559065,0.9640316904709384,-31.620700562171265,0.959752811269081,-31.185747195840733,0.4507145694870144,-31.188522989048295,0.452724291456424,-31.623523092821475
