Name,Value
skycell.1569.070,0
skycell.1569.080,1
skycell.1569.081,2
skycell.1569.082,3
skycell.1569.083,4
skycell.1569.090,5
skycell.1569.091,6
skycell.1569.092,7
skycell.1569.093,8
skycell.1569.094,9
skycell.1570.060,10
skycell.1570.061,11
skycell.1570.062,12
skycell.1570.063,13
skycell.1570.064,14
skycell.1570.065,15
skycell.1570.066,16
skycell.1570.067,17
skycell.1570.070,18
skycell.1570.071,19
skycell.1570.072,20
skycell.1570.073,21
skycell.1570.074,22
skycell.1570.075,23
skycell.1570.076,24
skycell.1570.077,25
skycell.1570.078,26
skycell.1570.079,27
skycell.1570.080,28
skycell.1570.081,29
skycell.1570.082,30
skycell.1570.083,31
skycell.1570.084,32
skycell.1570.085,33
skycell.1570.086,34
skycell.1570.087,35
skycell.1570.088,36
skycell.1570.089,37
skycell.1570.090,38
skycell.1570.091,39
skycell.1570.092,40
skycell.1570.093,41
skycell.1570.094,42
skycell.1570.095,43
skycell.1570.096,44
skycell.1570.097,45
skycell.1570.098,46
skycell.1570.099,47
skycell.1571.066,48
skycell.1571.067,49
skycell.1571.068,50
skycell.1571.069,51
skycell.1571.073,52
skycell.1571.074,53
skycell.1571.075,54
skycell.1571.076,55
skycell.1571.077,56
skycell.1571.078,57
skycell.1571.079,58
skycell.1571.081,59
skycell.1571.082,60
skycell.1571.083,61
skycell.1571.084,62
skycell.1571.085,63
skycell.1571.086,64
skycell.1571.087,65
skycell.1571.088,66
skycell.1571.089,67
skycell.1571.090,68
skycell.1571.091,69
skycell.1571.092,70
skycell.1571.093,71
skycell.1571.094,72
skycell.1571.095,73
skycell.1571.096,74
skycell.1571.097,75
skycell.1571.098,76
skycell.1571.099,77
skycell.1572.099,78
skycell.1656.070,79
skycell.1656.080,80
skycell.1656.090,81
skycell.1656.091,82
skycell.1657.000,83
skycell.1657.001,84
skycell.1657.002,85
skycell.1657.003,86
skycell.1657.010,87
skycell.1657.011,88
skycell.1657.012,89
skycell.1657.013,90
skycell.1657.014,91
skycell.1657.015,92
skycell.1657.020,93
skycell.1657.021,94
skycell.1657.022,95
skycell.1657.023,96
skycell.1657.024,97
skycell.1657.025,98
skycell.1657.026,99
skycell.1657.030,100
skycell.1657.031,101
skycell.1657.032,102
skycell.1657.033,103
skycell.1657.034,104
skycell.1657.035,105
skycell.1657.036,106
skycell.1657.037,107
skycell.1657.040,108
skycell.1657.041,109
