Name,Dist,RA,DEC,RA_Corner1,DEC_Corner1,RA_Corner2,DEC_Corner2,RA_Corner3,DEC_Corner3,RA_Corner4,DEC_Corner4
skycell.1566.050,9.12396943539743,264.75209766741125,10.19517960710218,264.9709031140364,9.977005693645484,264.97364146273344,10.410679022210132,264.53301625549057,10.413184098341617,264.5308651257464,9.979404356348756
skycell.1566.051,9.217169809541844,264.34544200859057,10.19719253323153,264.5646132167731,9.979240815758365,264.5668094022143,10.413013302443826,264.126006217983,10.414962839133535,264.1243979627814,9.981107536879575
skycell.1566.060,8.733043022370406,264.7543578538555,10.595648577428856,264.973431303296,10.377438039988611,264.9761764134854,10.811068996027869,264.53500760701564,10.813672306884568,264.53285116311537,10.37993495974357
skycell.1566.061,8.830257634671709,264.34720062201035,10.597742164642709,264.56664085196434,10.379764719950586,264.5688424626851,10.813494813306416,264.12749501907996,10.815520800541146,264.1258827894515,10.381707908992434
skycell.1566.062,8.944249186479631,263.93989930568955,10.59931314710482,264.15968442033557,10.381580163842786,264.1613418647747,10.815387612214243,263.7198603493224,10.816835375579686,263.7187928227067,10.382968759411648
skycell.1566.063,9.074389942754102,263.5324950114775,10.600360826721346,263.75260298870063,10.38288356564959,263.7537157644401,10.816746551713912,263.3121448237868,10.817615447387434,263.31162232398805,10.383716950732982
skycell.1566.070,8.343072172934482,264.7566236260233,10.99605885052588,264.97596573480536,10.777832884908024,264.97871763155024,11.21137913030099,264.5370038843118,11.214080626235194,264.53484210654415,10.780428042257244
skycell.1566.071,8.444663510320625,264.34896358334834,10.998233070448029,264.5686734958053,10.780251104588276,264.5708805519282,11.213896438362122,264.12898750413956,11.215998837495311,264.12737128533536,10.782270746408306
skycell.1566.072,8.563686041354268,263.94115892132373,10.999864558551549,264.16121466093415,10.782137975230796,264.16287620632147,11.21586062582826,263.72084858853935,11.217362993323636,263.7197784198603,10.783581204147096
skycell.1566.073,8.699429040092816,263.5332508989758,11.000952589337931,263.75363036224536,10.783492658481974,263.7547458919906,11.217270819347496,263.3126285166341,11.21817248664474,263.31210472348897,10.784358832726408
skycell.1566.074,8.851120840479993,263.12528083815,11.001496678656926,263.34596180790896,10.784314551960929,263.34653098282365,11.218126391391074,262.9043687169554,11.218426957032326,262.9043914586701,10.784603286164074
skycell.1566.075,9.017947368330175,262.71729009841994,11.001496584304608,262.9382502572507,10.784603290003188,262.93827290420825,11.218426961028722,262.49611064223205,11.218126291154968,262.4966799118883,10.784314455670495
skycell.1566.076,9.199069374539397,262.30932005193876,11.000952306323056,262.5305369957138,10.784358744112485,262.53001310782474,11.218172394399678,262.08789574414214,11.217270622916338,262.08901136858447,10.78349246978308
