Name,Dist,RA,DEC,RA_Corner1,DEC_Corner1,RA_Corner2,DEC_Corner2,RA_Corner3,DEC_Corner3,RA_Corner4,DEC_Corner4
skycell.0641.000,8.861099316596395,29.470221393328455,-31.790821468918505,29.731374719933378,-32.00352017628659,29.720735010476908,-31.569043816103324,29.210225667449578,-31.577488682318783,29.21858587392375,-32.01210518537716
skycell.0641.001,9.205601429981632,28.99750631527405,-31.79781465215056,29.257753566175808,-32.01152226276748,29.24921914431097,-31.576915276148437,28.73843268162031,-31.583487804114988,28.744683866978814,-32.01820387707784
skycell.0641.010,9.07777817448344,29.46148311425537,-31.38939474296637,29.721544753303753,-31.60225358279364,29.71099215671949,-31.16760561179048,29.20257021329635,-31.17592121048341,29.210861925304297,-31.610709152505812
skycell.0642.000,5.800371050112943,34.027184360247404,-31.790821468918505,34.288337686852316,-32.00352017628659,34.27769797739585,-31.569043816103324,33.76718863436852,-31.577488682318783,33.775548840842696,-32.01210518537716
skycell.0642.001,6.075593277952971,33.554469282193,-31.79781465215056,33.81471653309475,-32.01152226276748,33.806182111229916,-31.576915276148437,33.295395648539255,-31.583487804114988,33.30164683389776,-32.01820387707784
skycell.0642.002,6.364353627991322,33.08152862833177,-31.80306248581414,33.34083330137712,-32.017766435943244,33.33440765094826,-31.58305750522319,32.823413153990614,-31.587754419094757,32.82755276335371,-32.02254131403653
skycell.0642.003,6.6648876234692915,32.60842672181775,-31.806562348598927,32.86675265246904,-32.0222495732557,32.86243839945313,-31.587467442062973,32.35130512281162,-31.59028639871696,32.353331462983505,-32.02511532508073
skycell.0642.004,6.975659714876696,32.1352280176065,-31.808312490995544,32.3925394091235,-32.0249694307396,32.39033831805682,-31.590142886762468,31.879135629294,-31.59108247907681,31.87904787106994,-32.02592462098678
skycell.0642.005,7.295339531239662,31.661997049836963,-31.808312037748717,31.91825850300257,-32.025924646173465,31.918171474576468,-31.591082503852192,31.406968797797337,-31.590142262675176,31.40476697709439,-32.02496879629209
skycell.0642.006,7.622776949886186,31.1887983790514,-31.80656098908509,31.44397492137969,-32.025114740993956,31.44600199121253,-31.59028582416807,30.93486875051232,-31.587466218975376,30.93055376832031,-32.02224832986519
skycell.0642.007,7.956978079408522,30.7156965393614,-31.803060220713117,30.969753653727768,-32.02254012096895,30.97389399231632,-31.587753245508463,30.46289955522835,-31.58305568374563,30.45647317638138,-32.017764584232324
skycell.0642.008,8.29708324768903,30.24275598566787,-31.797811482594284,30.49565963830272,-32.01820207562684,30.50191155215327,-31.58348603207699,29.991125173211937,-31.57691285718923,29.98259002398377,-32.011519803662644
skycell.0642.009,8.642347449692696,29.770041041043015,-31.79081739648948,30.021757708832265,-32.01210277644415,30.03011864276816,-31.57748631271279,29.519609407301733,-31.56904080086742,29.508968971832108,-32.00351711101693
skycell.0642.010,6.105255384196251,34.01844608117431,-31.38939474296637,34.2785077202227,-31.60225358279364,34.26795512363844,-31.16760561179048,33.7595331802153,-31.17592121048341,33.767824892223246,-31.610709152505812
skycell.0642.011,6.367446923380496,33.547669264052,-31.396281679320985,33.806831627958005,-31.610135019512335,33.79836712476607,-31.17535658224175,33.28967145135316,-31.181828489513723,33.29587139732237,-31.61671587900063
skycell.0642.012,6.643663166256026,33.076669637360446,-31.40144977366336,33.33489667752852,-31.61628503461702,33.32852369476863,-31.18140477858081,32.81962253331898,-31.18602977883031,32.82372820006292,-31.62098790303601
skycell.0642.013,6.932222972823747,32.605510736526185,-31.404896452559065,32.86276673685766,-31.620700562171265,32.8584878576558,-31.185747195840733,32.34944961587373,-31.188522989048295,32.351459337843146,-31.623523092821475
skycell.0642.014,7.231635378154074,32.134256226094,-31.40661999845934,32.39050583254858,-31.62337939891151,32.38832279263066,-31.188381674584427,31.87921598890432,-31.189306879517556,31.8791289504382,-31.624320182522485
skycell.0642.015,7.540586323582458,31.66296984817918,-31.406619552100505,31.918178097890852,-31.62432020732929,31.918091783237173,-31.189306903913582,31.408984991347737,-31.18838106005328,31.406801227776427,-31.62337877403293
skycell.0642.016,7.857922158652163,31.19171537076236,-31.404895113705106,31.445847720649976,-31.623522517544146,31.44785816629708,-31.188522423297034,30.93881996001615,-31.18574599148033,30.934540357613535,-31.620699337533
skycell.0642.017,8.182632122806629,30.720556535932023,-31.401447542981643,30.973578890746012,-31.620986727961807,30.977685280739237,-31.186028623213403,30.46878417842629,-31.181402984990303,30.462410473211257,-31.616283210830375
skycell.0642.018,8.513831179208943,30.249557008179444,-31.396278557922763,30.50143574792772,-31.6167141047162,30.507636416424813,-31.18182674460606,29.998940825736433,-31.175354200312725,29.99047560112695,-31.610132597487
skycell.0642.019,8.850743977889053,29.778780322850945,-31.389390732405246,30.02948232954911,-31.610706779896184,30.037774763071397,-31.17591887715247,29.52935292589395,-31.167602642705734,29.51879960922033,-31.60225056373639
