Name,Value
skycell.2215.090,0
skycell.2215.091,1
skycell.2215.092,2
skycell.2215.093,3
skycell.2216.093,4
skycell.2216.094,5
skycell.2216.095,6
skycell.2216.096,7
skycell.2216.097,8
skycell.2216.098,9
skycell.2216.099,10
skycell.2278.060,11
skycell.2278.061,12
skycell.2278.070,13
skycell.2278.071,14
skycell.2278.072,15
skycell.2278.080,16
skycell.2278.081,17
skycell.2278.082,18
skycell.2278.083,19
skycell.2278.090,20
skycell.2278.091,21
skycell.2278.092,22
skycell.2278.093,23
skycell.2279.000,24
skycell.2279.010,25
skycell.2279.011,26
skycell.2279.012,27
skycell.2279.013,28
skycell.2279.020,29
skycell.2279.021,30
skycell.2279.022,31
skycell.2279.023,32
skycell.2279.024,33
skycell.2279.025,34
skycell.2279.030,35
skycell.2279.031,36
skycell.2279.032,37
skycell.2279.033,38
skycell.2279.034,39
skycell.2279.035,40
skycell.2279.036,41
skycell.2279.040,42
skycell.2279.041,43
skycell.2279.042,44
skycell.2279.043,45
skycell.2279.044,46
skycell.2279.045,47
skycell.2279.046,48
skycell.2279.047,49
skycell.2279.048,50
skycell.2279.050,51
skycell.2279.051,52
skycell.2279.052,53
skycell.2279.053,54
skycell.2279.054,55
skycell.2279.055,56
skycell.2279.056,57
skycell.2279.057,58
skycell.2279.058,59
skycell.2279.059,60
skycell.2279.060,61
skycell.2279.061,62
skycell.2279.062,63
skycell.2279.063,64
skycell.2279.064,65
skycell.2279.065,66
skycell.2279.066,67
skycell.2279.067,68
skycell.2279.068,69
skycell.2279.069,70
skycell.2279.070,71
skycell.2279.071,72
skycell.2279.072,73
skycell.2279.073,74
skycell.2279.074,75
skycell.2279.075,76
skycell.2279.076,77
skycell.2279.077,78
skycell.2279.078,79
skycell.2279.079,80
skycell.2279.080,81
skycell.2279.081,82
skycell.2279.082,83
skycell.2279.083,84
skycell.2279.084,85
skycell.2279.085,86
skycell.2279.086,87
skycell.2279.087,88
skycell.2279.088,89
skycell.2279.089,90
skycell.2279.090,91
skycell.2279.091,92
skycell.2279.092,93
skycell.2279.093,94
skycell.2279.094,95
skycell.2279.095,96
skycell.2279.096,97
skycell.2279.097,98
skycell.2279.098,99
skycell.2279.099,100
skycell.2280.000,101
skycell.2280.001,102
skycell.2280.002,103
skycell.2280.003,104
skycell.2280.004,105
skycell.2280.005,106
skycell.2280.006,107
skycell.2280.007,108
skycell.2280.008,109
skycell.2280.009,110
skycell.2280.010,111
skycell.2280.011,112
skycell.2280.012,113
skycell.2280.013,114
skycell.2280.014,115
skycell.2280.015,116
skycell.2280.016,117
skycell.2280.017,118
skycell.2280.018,119
skycell.2280.019,120
skycell.2280.020,121
skycell.2280.021,122
skycell.2280.022,123
skycell.2280.023,124
skycell.2280.024,125
skycell.2280.025,126
skycell.2280.026,127
skycell.2280.027,128
skycell.2280.028,129
skycell.2280.029,130
skycell.2280.030,131
skycell.2280.031,132
skycell.2280.032,133
skycell.2280.033,134
skycell.2280.034,135
skycell.2280.035,136
skycell.2280.036,137
skycell.2280.037,138
skycell.2280.038,139
skycell.2280.039,140
skycell.2280.040,141
skycell.2280.041,142
skycell.2280.042,143
skycell.2280.043,144
skycell.2280.044,145
skycell.2280.045,146
skycell.2280.046,147
skycell.2280.047,148
skycell.2280.048,149
skycell.2280.049,150
skycell.2280.050,151
skycell.2280.051,152
skycell.2280.052,153
skycell.2280.053,154
skycell.2280.054,155
skycell.2280.055,156
skycell.2280.056,157
skycell.2280.057,158
skycell.2280.058,159
skycell.2280.059,160
skycell.2280.060,161
skycell.2280.061,162
skycell.2280.062,163
skycell.2280.063,164
skycell.2280.064,165
skycell.2280.065,166
skycell.2280.066,167
skycell.2280.067,168
skycell.2280.068,169
skycell.2280.069,170
skycell.2280.070,171
skycell.2280.071,172
skycell.2280.072,173
skycell.2280.073,174
skycell.2280.074,175
skycell.2280.075,176
skycell.2280.076,177
skycell.2280.077,178
skycell.2280.078,179
skycell.2280.079,180
skycell.2280.080,181
skycell.2280.081,182
skycell.2280.082,183
