Dates Flux Corrflux Xpos Ypos
2229.0366 2313377.972483 1.0430317308838697 8.069102 6.706502
2229.037281 2318418.910669 1.048255180027594 8.047067 6.709926
2229.037962 2312271.501131 1.040836174002349 8.079388 6.70639
2229.038643 2312965.545949 1.0431746506019224 8.068083 6.704857
2229.039325 2316326.651422 1.0463139144267588 8.055089 6.708409
2229.040006 2313080.805714 1.0430007263248449 8.069354 6.7051
2229.040687 2312687.718628 1.0453611799233473 8.057407 6.697192
2229.041368 2315295.827361 1.0464226666834022 8.05331 6.704904
2229.042049 2316408.897468 1.0464623270183961 8.054879 6.707536
2229.04273 2314733.022793 1.0456701348443844 8.056724 6.705033
2229.043411 2312845.729831 1.045786825919398 8.054988 6.69696
2229.044092 2316599.467806 1.046249447197871 8.056068 6.708889
2229.044773 2315297.176918 1.0480958295665388 8.044637 6.698878
2229.045454 2316626.789677 1.048711396417547 8.042595 6.7019
2229.046135 2316201.318736 1.047811293046383 8.047772 6.702348
2229.046816 2314794.011202 1.0477445938803331 8.046559 6.697393
2229.047497 2318901.15558 1.0490663454165718 8.044165 6.707587
2229.048179 2315172.503626 1.0502453895622494 8.034393 6.685277
2229.04886 2318471.876891 1.0496491292673449 8.041729 6.701984
2229.049541 2315388.938189 1.048757036518655 8.042132 6.694974
2229.050222 2316457.207208 1.0501976674355165 8.036101 6.691603
2229.050903 2316633.455895 1.0517772185206526 8.028712 6.680872
2229.051584 2316876.087454 1.0517286191823687 8.029909 6.681513
2229.052265 2316008.645667 1.0520000799913718 8.026543 6.675956
2229.052946 2317167.494027 1.0522469162287165 8.027202 6.679564
2229.053627 2317420.705999 1.0518506404063677 8.029859 6.683543
2229.054308 2316181.28591 1.053688783614742 8.016447 6.661571
2229.054989 2316969.625144 1.0527717326771442 8.024058 6.674079
2229.055671 2317766.134085 1.0551232317669927 8.010163 6.65541
2229.056352 2318202.001879 1.0542571853077582 8.017607 6.666921
2229.057033 2317469.342458 1.0538742813540798 8.018101 6.667133
2229.057714 2316386.292015 1.054192982542471 8.013299 6.657541
2229.058395 2316887.007202 1.053936472485248 8.016308 6.66332
2229.059076 2317973.246514 1.0553142261146466 8.009618 6.653919
2229.059757 2318434.201365 1.0560675196180802 8.004037 6.64846
2229.060438 2317533.712319 1.055578250502302 8.005164 6.648885
2229.061119 2318254.144061 1.0558749557878422 8.005194 6.649694
2229.0618 2318903.091529 1.0566971998885633 7.99958 6.643064
2229.062481 2318185.596557 1.0562443505705286 8.001295 6.644295
2229.063162 2318781.818001 1.0565099532851092 8.001192 6.64464
2229.063843 2316940.443104 1.0563338600774972 7.995142 6.631265
2229.064525 2319029.529285 1.0572931175590605 7.992897 6.634503
2229.065206 2319857.943743 1.0576984802389477 7.991958 6.634863
2229.065887 2319242.218673 1.0575822733989308 7.99035 6.630425
2229.066568 2318092.512671 1.0569154694800336 7.993965 6.630838
2229.06793 2318571.964308 1.0574992998748547 7.987204 6.624649
2229.068611 2322098.716681 1.059379299416216 7.979768 6.619923
2229.069292 2322402.312927 1.059250193973134 7.986556 6.625459
2229.069973 2321764.526109 1.059152999387959 7.982686 6.620337
2229.070654 2321579.32491 1.0592548934639607 7.975593 6.617618
2229.071335 2321091.825796 1.0591588330619166 7.971385 6.610801
2229.072017 2321443.189556 1.059311042289509 7.97093 6.612577
2229.072698 2321673.86164 1.059166945793391 7.980307 6.620378
2229.073379 2320574.856088 1.0589973029030026 7.966693 6.604713
2229.07406 2321625.319854 1.0594772738162337 7.964639 6.607759
2229.074741 2322351.196539 1.0597876587902169 7.966681 6.609446
2229.075422 2320438.059862 1.0589390086196206 7.966806 6.603343
2229.076103 2322564.341412 1.059923533847523 7.960009 6.608295
2229.076784 2320636.162974 1.0590373777953048 7.956349 6.598635
2229.077465 2321367.123713 1.0593824099629763 7.957907 6.604795
2229.078146 2321297.728427 1.0593441324189155 7.955281 6.602507
2229.078827 2321727.191356 1.0595377949850726 7.954065 6.603275
2229.079509 2320450.264095 1.058906424051812 7.951696 6.594445
2229.080871 2320273.177626 1.0587043527666538 7.943891 6.590704
2229.081552 2320073.772846 1.0587763320326502 7.955941 6.597652
2229.082233 2322526.713162 1.0596019277285784 7.934812 6.593162
2229.082914 2321806.184763 1.059468686697427 7.944154 6.597738
2229.083595 2320915.734664 1.0590097141178356 7.943973 6.591858
2229.084276 2324219.471021 1.0605060245161688 7.9395 6.597673
2229.084957 2321730.725592 1.0594060100069869 7.945204 6.592652
2229.085638 2322470.534984 1.0594729509722185 7.932389 6.58932
2229.086319 2322120.900535 1.0593359988817306 7.93396 6.588443
2229.087 2322434.675862 1.0596708584536116 7.940281 6.594353
2229.087681 2323481.276404 1.0596457602102034 7.921516 6.58893
2229.088363 2320385.344048 1.0584370597687254 7.933437 6.582094
2229.089044 2323349.531056 1.059669432437043 7.923556 6.590367
2229.089725 2322618.227056 1.0594117815873758 7.928479 6.587132
2229.090406 2323528.648871 1.0597251976038302 7.923103 6.589613
2229.091087 2323401.901955 1.059778379467579 7.927534 6.589165
2229.091768 2323852.12711 1.0595497721668528 7.915377 6.585394
2229.092449 2322698.062271 1.0591367745827531 7.919628 6.58412
2229.09313 2322488.774288 1.059125141016668 7.923482 6.582293
2229.093811 2324421.600902 1.059972543045288 7.918013 6.589112
2229.094492 2325365.529914 1.0601488322817614 7.909466 6.590532
2229.095173 2324604.560074 1.0597726026219707 7.909811 6.588708
2229.095854 2324751.046808 1.0599140989611684 7.912461 6.587877
2229.096535 2324718.245978 1.060001147430356 7.914749 6.589012
2229.097217 2325200.486061 1.0600655971110993 7.911112 6.587608
2229.097898 2323396.454737 1.0590575234469004 7.910679 6.580424
2229.098579 2328874.862161 1.0613904123407731 7.894971 6.59847
2229.09926 2326703.259185 1.0606089544437334 7.903957 6.592741
2229.099941 2329291.028095 1.0617246560563638 7.897294 6.600538
2229.100622 2328691.291029 1.0614143048217608 7.898079 6.597826
2229.101303 2326424.981184 1.060287850178586 7.90104 6.589526
2229.101984 2325245.962843 1.059752405856409 7.904406 6.58434
2229.102665 2332908.347721 1.0627423321117713 7.87932 6.605527
2229.103346 2326230.184995 1.0600485062243044 7.898299 6.588123
2229.104027 2330268.193526 1.0618886034604036 7.889984 6.601116
2229.104709 2329328.214128 1.0613374792305308 7.890774 6.595437
2229.10539 2331158.813683 1.062252358535369 7.887783 6.603015
2229.106071 2330369.476374 1.0614562875749363 7.882879 6.595687
2229.106752 2330896.097279 1.0622037807566813 7.891033 6.600551
2229.107433 2330943.481152 1.0611345139371187 7.873047 6.593159
2229.108114 2331445.358459 1.06191484890435 7.881023 6.597566
2229.108795 2333079.253694 1.0629024712858088 7.884856 6.599662
2229.109476 2334476.80686 1.0630384754602946 7.875095 6.598753
2229.110157 2337097.289922 1.0640701136379151 7.867737 6.605386
2229.110838 2332331.56387 1.0619991721346231 7.877508 6.593082
2229.111519 2337686.883226 1.0642291549576195 7.863779 6.60836
2229.1122 2334855.557059 1.0634225569563485 7.875167 6.605254
2229.112882 2335010.644951 1.0629340980959654 7.867232 6.600747
2229.113563 2337460.065593 1.0639777809339208 7.861266 6.608035
2229.114244 2333330.755779 1.061940624721264 7.86704 6.594594
2229.115606 2336442.906828 1.0632897294608432 7.860062 6.603646
2229.116287 2336158.885434 1.063394757293083 7.863898 6.604185
2229.116968 2336091.095846 1.062811430374075 7.857721 6.59879
2229.117649 2337876.275462 1.0640231465286243 7.858503 6.608315
2229.11833 2343416.981762 1.0656345326399637 7.838802 6.615481
2229.119011 2334885.200992 1.063021641555388 7.869727 6.601055
2229.119692 2339787.969221 1.063832561534973 7.844116 6.603491
2229.120373 2340369.625246 1.064599747036794 7.848699 6.608799
2229.121055 2341710.498841 1.064743490262141 7.841165 6.60899
2229.121736 2339586.928488 1.064175586591824 7.84982 6.605312
2229.122417 2342914.569344 1.0658409840795293 7.844472 6.617551
2229.123098 2340258.080237 1.0646019486925364 7.849582 6.608778
2229.123779 2344771.42945 1.0657172439690346 7.830342 6.616038
2229.12446 2342286.13804 1.0648115173786745 7.837538 6.610027
2229.125141 2341577.563107 1.0648619859694883 7.843016 6.610467
2229.125822 2345281.001067 1.065783103125092 7.828328 6.615391
2229.126503 2343422.652131 1.0654447877276227 7.837103 6.613481
2229.127184 2345803.889758 1.0657921888245616 7.825769 6.614258
2229.127865 2346019.965566 1.0662858916883773 7.828899 6.61832
2229.128547 2342940.736222 1.0647767721170638 7.834288 6.607381
2229.129228 2348501.175989 1.0670258599396747 7.821259 6.621487
2229.129909 2344450.538594 1.0655410303796693 7.832043 6.61268
2229.13059 2348852.387508 1.0671176973753254 7.819897 6.622116
2229.131952 2349161.90925 1.0664385720719902 7.813847 6.614103
2229.132633 2350825.831432 1.0682541258670561 7.818138 6.630212
2229.133314 2348835.364805 1.0666956702621693 7.816359 6.618667
2229.133995 2348168.629244 1.0664939836961795 7.818181 6.617982
