Name,Value
skycell.2064.040,0
skycell.2064.041,1
skycell.2064.050,2
skycell.2064.051,3
skycell.2064.052,4
skycell.2064.060,5
skycell.2064.061,6
skycell.2064.062,7
skycell.2064.063,8
skycell.2064.070,9
skycell.2064.071,10
skycell.2064.072,11
skycell.2064.073,12
skycell.2064.074,13
skycell.2064.080,14
skycell.2064.081,15
skycell.2064.082,16
skycell.2064.083,17
skycell.2064.084,18
skycell.2064.085,19
skycell.2064.090,20
skycell.2064.091,21
skycell.2064.092,22
skycell.2064.093,23
skycell.2064.094,24
skycell.2064.095,25
skycell.2064.096,26
skycell.2065.000,27
skycell.2065.001,28
skycell.2065.002,29
skycell.2065.010,30
skycell.2065.011,31
skycell.2065.012,32
skycell.2065.013,33
skycell.2065.014,34
skycell.2065.015,35
skycell.2065.020,36
skycell.2065.021,37
skycell.2065.022,38
skycell.2065.023,39
skycell.2065.024,40
skycell.2065.025,41
skycell.2065.026,42
skycell.2065.027,43
skycell.2065.030,44
skycell.2065.031,45
skycell.2065.032,46
skycell.2065.033,47
skycell.2065.034,48
skycell.2065.035,49
skycell.2065.036,50
skycell.2065.037,51
skycell.2065.038,52
skycell.2065.039,53
skycell.2065.040,54
skycell.2065.041,55
skycell.2065.042,56
skycell.2065.043,57
skycell.2065.044,58
skycell.2065.045,59
skycell.2065.046,60
skycell.2065.047,61
skycell.2065.048,62
skycell.2065.049,63
skycell.2065.050,64
skycell.2065.051,65
skycell.2065.052,66
skycell.2065.053,67
skycell.2065.054,68
skycell.2065.055,69
skycell.2065.056,70
skycell.2065.057,71
skycell.2065.058,72
skycell.2065.059,73
skycell.2065.060,74
skycell.2065.061,75
skycell.2065.062,76
skycell.2065.063,77
skycell.2065.064,78
skycell.2065.065,79
skycell.2065.066,80
skycell.2065.067,81
skycell.2065.068,82
skycell.2065.069,83
skycell.2065.070,84
skycell.2065.071,85
skycell.2065.072,86
skycell.2065.073,87
skycell.2065.074,88
skycell.2065.075,89
skycell.2065.076,90
skycell.2065.077,91
skycell.2065.078,92
skycell.2065.079,93
skycell.2065.080,94
skycell.2065.081,95
skycell.2065.082,96
skycell.2065.083,97
skycell.2065.084,98
skycell.2065.085,99
skycell.2065.086,100
skycell.2065.087,101
skycell.2065.088,102
skycell.2065.089,103
skycell.2065.090,104
skycell.2065.091,105
skycell.2065.092,106
skycell.2065.093,107
skycell.2065.094,108
skycell.2065.095,109
skycell.2065.096,110
skycell.2065.097,111
skycell.2065.098,112
skycell.2065.099,113
skycell.2066.002,114
skycell.2066.003,115
skycell.2066.004,116
skycell.2066.005,117
skycell.2066.006,118
skycell.2066.007,119
skycell.2066.008,120
skycell.2066.009,121
skycell.2066.010,122
skycell.2066.011,123
skycell.2066.012,124
skycell.2066.013,125
skycell.2066.014,126
skycell.2066.015,127
skycell.2066.016,128
skycell.2066.017,129
skycell.2066.018,130
skycell.2066.019,131
skycell.2066.020,132
skycell.2066.021,133
skycell.2066.022,134
skycell.2066.023,135
skycell.2066.024,136
skycell.2066.025,137
skycell.2066.026,138
skycell.2066.027,139
skycell.2066.028,140
skycell.2066.029,141
skycell.2066.030,142
skycell.2066.031,143
skycell.2066.032,144
skycell.2066.033,145
skycell.2066.034,146
skycell.2066.035,147
skycell.2066.036,148
skycell.2066.037,149
skycell.2066.038,150
skycell.2066.039,151
skycell.2066.040,152
skycell.2066.041,153
skycell.2066.042,154
skycell.2066.043,155
skycell.2066.044,156
skycell.2066.045,157
skycell.2066.046,158
skycell.2066.047,159
skycell.2066.048,160
skycell.2066.049,161
skycell.2066.050,162
skycell.2066.051,163
skycell.2066.052,164
skycell.2066.053,165
skycell.2066.054,166
skycell.2066.055,167
skycell.2066.056,168
skycell.2066.057,169
skycell.2066.058,170
skycell.2066.059,171
skycell.2066.060,172
skycell.2066.061,173
skycell.2066.062,174
skycell.2066.063,175
skycell.2066.064,176
skycell.2066.065,177
skycell.2066.066,178
skycell.2066.067,179
skycell.2066.068,180
skycell.2066.069,181
skycell.2066.070,182
skycell.2066.071,183
skycell.2066.072,184
skycell.2066.073,185
skycell.2066.074,186
skycell.2066.075,187
skycell.2066.076,188
skycell.2066.077,189
skycell.2066.078,190
skycell.2066.079,191
skycell.2066.080,192
skycell.2066.081,193
skycell.2066.082,194
skycell.2066.083,195
skycell.2066.084,196
skycell.2066.085,197
skycell.2066.086,198
skycell.2066.087,199
skycell.2066.088,200
skycell.2066.089,201
skycell.2066.090,202
skycell.2066.091,203
skycell.2066.092,204
skycell.2066.093,205
skycell.2066.094,206
skycell.2066.095,207
skycell.2066.096,208
skycell.2066.097,209
skycell.2066.098,210
skycell.2066.099,211
skycell.2067.018,212
skycell.2067.019,213
skycell.2067.026,214
skycell.2067.027,215
skycell.2067.028,216
skycell.2067.029,217
skycell.2067.034,218
skycell.2067.035,219
skycell.2067.036,220
skycell.2067.037,221
skycell.2067.038,222
skycell.2067.039,223
skycell.2067.042,224
skycell.2067.043,225
skycell.2067.044,226
skycell.2067.045,227
skycell.2067.046,228
skycell.2067.047,229
skycell.2067.048,230
skycell.2067.049,231
skycell.2067.051,232
skycell.2067.052,233
skycell.2067.053,234
skycell.2067.054,235
skycell.2067.055,236
skycell.2067.056,237
skycell.2067.057,238
skycell.2067.058,239
skycell.2067.059,240
skycell.2067.060,241
skycell.2067.061,242
