,objID,raMean,decMean,qualityFlag,gMeanPSFMag,gMeanPSFMagErr,gMeanPSFMagNpt,rMeanPSFMag,rMeanPSFMagErr,rMeanPSFMagNpt,iMeanPSFMag,iMeanPSFMagErr,iMeanPSFMagNpt,zMeanPSFMag,zMeanPSFMagErr,zMeanPSFMagNpt,yMeanPSFMag,yMeanPSFMagErr,yMeanPSFMagNpt,rMeanKronMag,rMeanKronMagErr,iMeanKronMag,iMeanKronMagErr,nDetections,gFlags,gQfPerfect,rFlags,rQfPerfect,iFlags,iQfPerfect,zFlags,zQfPerfect,yFlags,yQfPerfect,x,y
480,161931207496385960,120.749622327667,44.9461016346782,60,20.4423999786377,0.0182760003954172,17,19.1702003479004,0.0094410004094243,16,18.3090991973877,0.00327900005504489,34,17.9197006225586,0.00645900005474687,11,17.6807994842529,0.00675999978557229,14,19.2742004394531,0.0083389999344945,18.3889999389648,0.00422499980777502,99,115000,0.999819993972778,115000,0.999388992786407,115000,0.999647974967957,115000,0.999628007411957,115000,0.99940699338913,2613,2923
481,161931207743273863,120.774305444294,44.9443436224918,52,21.7213001251221,0.0529079996049404,5,20.2800006866455,0.0217489991337061,12,18.9524002075195,0.00543799996376038,22,18.3441009521484,0.00856500025838614,16,18.0611000061035,0.0184989999979734,12,20.3826999664307,0.0230790004134178,19.0485000610352,0.0101389996707439,76,115000,0.999287009239197,115000,0.99967098236084,115000,0.999415993690491,115000,0.99956202507019,115000,0.999412000179291,2360,2906
482,161931207981342643,120.798124129819,44.9433343272944,52,21.4787998199463,0.0349709987640381,8,20.4165000915527,0.0169910006225109,14,19.9281997680664,0.00967700034379959,29,19.7187004089355,0.0245270002633333,13,19.4750003814697,0.0849680006504059,11,20.4447002410889,0.0306199993938208,20.0065994262695,0.0169530007988214,85,115000,0.999382019042969,115000,0.999620020389557,115000,0.99964302778244,115000,0.999675989151001,115000,0.999134004116058,2117,2899
483,161931208075024915,120.807481229316,44.945227402871,60,19.3103008270264,0.00635199993848801,14,18.0485992431641,0.00304200011305511,18,17.3540992736816,0.00190599996130913,22,17.0235996246338,0.00572599982842803,14,16.8593997955322,0.0135949999094009,13,18.1294002532959,0.00493300007656217,17.4241008758545,0.00374899990856647,90,115000,0.999769985675812,115000,0.999707996845245,115000,0.99972802400589,115000,0.999652981758118,115000,0.999656021595001,2022,2929
484,161931208989946687,120.89894709812,44.9467191163754,52,21.915599822998,0.021068999543786,2,20.9193000793457,0.0178149994462729,18,19.5583000183105,0.00989000033587217,20,18.8843002319336,0.0176229998469353,10,18.6196002960205,0.0211980007588863,18,20.980899810791,0.0500480011105537,19.6622009277344,0.0180270001292229,73,115000,0.999249994754791,115000,0.999363005161285,115000,0.999605000019073,115000,0.999700009822845,115000,0.999557018280029,1090,2982
485,161931209137315306,120.913765562271,44.9455134283229,53,21.1912002563477,0.032030001282692,10,19.9298000335693,0.0235459990799427,12,19.4232997894287,0.0246820002794266,19,19.1042995452881,0.0313519984483719,11,18.6947002410889,0.0254100002348423,14,19.349100112915,0.0200130008161068,18.8127994537354,0.0172370001673698,78,16892216,0.999464988708496,16892216,0.999664008617401,16892216,0.99973201751709,16892216,0.99964302778244,16892216,0.999779999256134,938,2970
486,161931209600380628,120.960006943671,44.9416297146022,60,16.679500579834,0.00256599998101592,11,15.6546001434326,0.00168300000950694,15,15.1892004013062,0.000727000006008893,19,14.9823999404907,0.00344699993729591,9,14.8468999862671,0.00290900003165007,14,15.7084999084473,0.00124300003517419,15.2348003387451,0.00150799995753914,97,115000,0.999788999557495,115000,0.999310970306396,115000,0.99964702129364,115000,0.999023020267487,115000,0.999624013900757,465,2931
487,161931209913051443,120.991279076338,44.9423136588295,52,21.2474002838135,0.0235249996185303,11,20.2003993988037,0.0174560006707907,9,19.637300491333,0.00796100031584501,38,19.4347991943359,0.0175310000777245,15,19.1135997772217,0.0317739993333817,10,20.3444004058838,0.0361480005085468,19.760799407959,0.0141129996627569,98,115000,0.999421000480652,115000,0.999532997608185,115000,0.99967497587204,115000,0.99965900182724,115000,0.999805986881256,146,2952
488,161931209918677431,120.99181359054,44.9473131505906,53,21.2861003875732,0.0747610032558441,14,20.2287998199463,0.0327440015971661,16,19.7341995239258,0.0131120001897216,28,19.4393997192383,0.0353620015084743,14,19.3477001190186,0.0501499995589256,10,19.6061992645264,0.0361360013484955,19.0883007049561,0.0125439995899796,103,16892216,0.999827980995178,16892216,0.99965500831604,16892216,0.999710023403168,16892216,0.999661982059479,16892216,0.999583005905151,143,3024
489,161961204975926822,120.49757221997,44.9718125771257,52,22.0965003967285,0.156583994626999,5,20.8059997558594,0.0274410005658865,11,19.9820995330811,0.0148379998281598,21,19.6273994445801,0.0448449999094009,14,19.2397994995117,0.0309330001473427,12,20.8855991363525,0.0799539983272552,20.1014003753662,0.0285170003771782,73,115000,0.999445021152496,115000,0.999041974544525,115000,0.999597012996674,115000,0.999566972255707,115000,0.999625980854034,5194,3214
490,161961205817030037,120.581725491033,44.9661930500018,53,19.6926002502441,0.0241170004010201,5,19.3498001098633,0.019038999453187,11,19.2863006591797,0.0154389999806881,24,19.1832008361816,0.0357040017843246,12,18.9029998779297,0.0581610016524792,8,18.75830078125,0.0188870001584291,18.6408996582031,0.0266709998250008,87,16892216,0.999846994876862,16892216,0.999593019485474,16892216,0.999629020690918,16892216,0.999144017696381,16892216,0.999467015266418,4334,3159
491,161961205841739043,120.584172407801,44.9736460434117,52,20.9867000579834,0.0380829982459545,10,19.8785991668701,0.0125160003080964,12,18.6909008026123,0.00522800022736192,18,18.1415996551514,0.00625099986791611,16,17.8976993560791,0.0274500008672476,17,19.9930000305176,0.026078000664711,18.8006000518799,0.00989800039678812,81,115000,0.9998379945755,115000,0.999568998813629,115000,0.999481976032257,115000,0.999710023403168,115000,0.999516010284424,4312,3267
492,161961205960888268,120.596086753411,44.9730317134592,52,21.1767997741699,0.0360050015151501,9,20.3129005432129,0.0149550000205636,17,19.8183002471924,0.00847600027918816,31,19.5666999816895,0.0214639995247126,15,19.285400390625,0.0798629969358444,11,20.3633995056152,0.0387989990413189,19.9039001464844,0.0181740000844002,87,115000,0.999433994293213,115000,0.999298989772797,115000,0.999687016010284,115000,0.999489009380341,115000,0.998733997344971,4190,3261
