Name,Dist,RA,DEC,RA_Corner1,DEC_Corner1,RA_Corner2,DEC_Corner2,RA_Corner3,DEC_Corner3,RA_Corner4,DEC_Corner4
skycell.0706.000,8.633954241637225,325.6727608372982,-31.790821468918505,325.9339141639031,-32.00352017628659,325.92327445444664,-31.569043816103324,325.41276511141933,-31.577488682318783,325.4211253178935,-32.01210518537716
skycell.0706.001,8.962030851919632,325.2000457592438,-31.79781465215056,325.4602930101455,-32.01152226276748,325.4517585882807,-31.576915276148437,324.94097212559006,-31.583487804114988,324.9472233109485,-32.01820387707784
skycell.0706.010,8.875685586105734,325.6640225582251,-31.38939474296637,325.9240841972735,-31.60225358279364,325.9135316006892,-31.16760561179048,325.4051096572661,-31.17592121048341,325.413401369274,-31.610709152505812
skycell.0706.011,9.195302390312756,325.19324574110277,-31.396281679320985,325.4524081050088,-31.610135019512335,325.44394360181684,-31.17535658224175,324.93524792840395,-31.181828489513723,324.9414478743731,-31.61671587900063
skycell.0706.020,9.128682356894313,325.6553557028919,-30.98782928646533,325.91433472727914,-31.20082686526134,325.903868178674,-30.76604991287842,325.39751665741403,-30.77423642876505,325.4057407129832,-31.209153153287392
skycell.0707.000,5.820110338771752,330.22970663807945,-31.790821468918505,330.4908599646844,-32.00352017628659,330.4802202552279,-31.569043816103324,329.9697109122006,-31.577488682318783,329.97807111867473,-32.01210518537716
skycell.0707.001,6.058647778254399,329.756991560025,-31.79781465215056,330.01723881092676,-32.01152226276748,330.00870438906196,-31.576915276148437,329.4979179263713,-31.583487804114988,329.50416911172977,-32.01820387707784
skycell.0707.002,6.313801568341894,329.2840509061638,-31.80306248581414,329.54335557920916,-32.017766435943244,329.5369299287803,-31.58305750522319,329.02593543182263,-31.587754419094757,329.03007504118574,-32.02254131403653
skycell.0707.003,6.583638164730356,328.8109489996498,-31.806562348598927,329.06927493030105,-32.0222495732557,329.06496067728517,-31.587467442062973,328.5538274006436,-31.59028639871696,328.5558537408155,-32.02511532508073
skycell.0707.004,6.866415685691069,328.3377502954385,-31.808312490995544,328.59506168695555,-32.0249694307396,328.59286059588885,-31.590142886762468,328.08165790712604,-31.59108247907681,328.08157014890196,-32.02592462098678
skycell.0707.005,7.160581627873775,327.864519327669,-31.808312037748717,328.1207807808346,-32.025924646173465,328.1206937524085,-31.591082503852192,327.60949107562936,-31.590142262675176,327.6072892549264,-32.02496879629209
skycell.0707.006,7.464762499669691,327.3913206568834,-31.80656098908509,327.64649719921175,-32.025114740993956,327.6485242690446,-31.59028582416807,327.1373910283444,-31.587466218975376,327.1330760461523,-32.02224832986519
skycell.0707.007,7.777749040665144,326.9182188171934,-31.803060220713117,327.1722759315598,-32.02254012096895,327.17641627014837,-31.587753245508463,326.6654218330604,-31.58305568374563,326.6589954542134,-32.017764584232324
skycell.0707.008,8.098479576600477,326.4452782634999,-31.797811482594284,326.69818191613473,-32.01820207562684,326.7044338299853,-31.58348603207699,326.19364745104394,-31.57691285718923,326.1851123018158,-32.011519803662644
skycell.0707.009,8.426023159318104,325.9725633188751,-31.79081739648948,326.22427998666427,-32.01210277644415,326.2326409206002,-31.57748631271279,325.7221316851338,-31.56904080086742,325.71149124966416,-32.00351711101693
skycell.0707.010,6.153671003667216,330.22096835900635,-31.38939474296637,330.48102999805474,-31.60225358279364,330.4704774014705,-31.16760561179048,329.96205545804736,-31.17592121048341,329.9703471700553,-31.610709152505812
skycell.0707.011,6.379879418526955,329.750191541884,-31.396281679320985,330.00935390579,-31.610135019512335,330.0008894025981,-31.17535658224175,329.4921937291852,-31.181828489513723,329.4983936751544,-31.61671587900063
skycell.0707.012,6.62279408519406,329.2791919151925,-31.40144977366336,329.5374189553606,-31.61628503461702,329.5310459726007,-31.18140477858081,329.022144811151,-31.18602977883031,329.02625047789496,-31.62098790303601
skycell.0707.013,6.880644009969608,328.8080330143582,-31.404896452559065,329.0652890146897,-31.620700562171265,329.06101013548783,-31.185747195840733,328.55197189370574,-31.188522989048295,328.5539816156752,-31.623523092821475
