Name,Value
skycell.0705.010,0
skycell.0705.020,1
skycell.0705.021,2
skycell.0705.030,3
skycell.0705.031,4
skycell.0705.040,5
skycell.0705.041,6
skycell.0705.042,7
skycell.0705.050,8
skycell.0705.051,9
skycell.0705.052,10
skycell.0705.060,11
skycell.0705.061,12
skycell.0705.062,13
skycell.0705.063,14
skycell.0705.070,15
skycell.0705.071,16
skycell.0705.072,17
skycell.0705.073,18
skycell.0705.080,19
skycell.0705.081,20
skycell.0705.082,21
skycell.0705.083,22
skycell.0705.084,23
skycell.0705.090,24
skycell.0705.091,25
skycell.0705.092,26
skycell.0705.093,27
skycell.0705.094,28
skycell.0706.000,29
skycell.0706.001,30
skycell.0706.002,31
skycell.0706.003,32
skycell.0706.004,33
skycell.0706.005,34
skycell.0706.006,35
skycell.0706.007,36
skycell.0706.008,37
skycell.0706.009,38
skycell.0706.010,39
skycell.0706.011,40
skycell.0706.012,41
skycell.0706.013,42
skycell.0706.014,43
skycell.0706.015,44
skycell.0706.016,45
skycell.0706.017,46
skycell.0706.018,47
skycell.0706.019,48
skycell.0706.020,49
skycell.0706.021,50
skycell.0706.022,51
skycell.0706.023,52
skycell.0706.024,53
skycell.0706.025,54
skycell.0706.026,55
skycell.0706.027,56
skycell.0706.028,57
skycell.0706.029,58
skycell.0706.030,59
skycell.0706.031,60
skycell.0706.032,61
skycell.0706.033,62
skycell.0706.034,63
skycell.0706.035,64
skycell.0706.036,65
skycell.0706.037,66
skycell.0706.038,67
skycell.0706.039,68
skycell.0706.040,69
skycell.0706.041,70
skycell.0706.042,71
skycell.0706.043,72
skycell.0706.044,73
skycell.0706.045,74
skycell.0706.046,75
skycell.0706.047,76
skycell.0706.048,77
skycell.0706.049,78
skycell.0706.050,79
skycell.0706.051,80
skycell.0706.052,81
skycell.0706.053,82
skycell.0706.054,83
skycell.0706.055,84
skycell.0706.056,85
skycell.0706.057,86
skycell.0706.058,87
skycell.0706.059,88
skycell.0706.060,89
skycell.0706.061,90
skycell.0706.062,91
skycell.0706.063,92
skycell.0706.064,93
skycell.0706.065,94
skycell.0706.066,95
skycell.0706.067,96
skycell.0706.068,97
skycell.0706.069,98
skycell.0706.070,99
skycell.0706.071,100
skycell.0706.072,101
skycell.0706.073,102
skycell.0706.074,103
skycell.0706.075,104
skycell.0706.076,105
skycell.0706.077,106
skycell.0706.078,107
skycell.0706.079,108
skycell.0706.080,109
skycell.0706.081,110
skycell.0706.082,111
skycell.0706.083,112
skycell.0706.084,113
skycell.0706.085,114
skycell.0706.086,115
skycell.0706.087,116
skycell.0706.088,117
skycell.0706.089,118
skycell.0706.090,119
skycell.0706.091,120
skycell.0706.092,121
skycell.0706.093,122
skycell.0706.094,123
skycell.0706.095,124
skycell.0706.096,125
skycell.0706.097,126
skycell.0706.098,127
skycell.0706.099,128
skycell.0707.000,129
skycell.0707.001,130
skycell.0707.002,131
skycell.0707.003,132
skycell.0707.004,133
skycell.0707.005,134
skycell.0707.006,135
skycell.0707.007,136
skycell.0707.008,137
skycell.0707.009,138
skycell.0707.010,139
skycell.0707.011,140
skycell.0707.012,141
skycell.0707.013,142
skycell.0707.014,143
skycell.0707.015,144
skycell.0707.016,145
skycell.0707.017,146
skycell.0707.018,147
skycell.0707.019,148
skycell.0707.020,149
skycell.0707.021,150
skycell.0707.022,151
skycell.0707.023,152
skycell.0707.024,153
skycell.0707.025,154
skycell.0707.026,155
skycell.0707.027,156
skycell.0707.028,157
skycell.0707.029,158
skycell.0707.030,159
skycell.0707.031,160
skycell.0707.032,161
skycell.0707.033,162
skycell.0707.034,163
skycell.0707.035,164
skycell.0707.036,165
skycell.0707.037,166
skycell.0707.038,167
skycell.0707.039,168
skycell.0707.040,169
skycell.0707.041,170
skycell.0707.042,171
skycell.0707.043,172
skycell.0707.044,173
skycell.0707.045,174
skycell.0707.046,175
skycell.0707.047,176
skycell.0707.048,177
skycell.0707.049,178
skycell.0707.050,179
skycell.0707.051,180
skycell.0707.052,181
skycell.0707.053,182
skycell.0707.054,183
skycell.0707.055,184
skycell.0707.056,185
skycell.0707.057,186
skycell.0707.058,187
